OBJECTID,FOLIO,ID,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATED BY,CREATED DATE,MODIFIED BY,MODIFIED DATE,GlobalID,x,y
43,0141100030010,5001,Shenandoah Elementary, ,1023 SW 21st Ave, ,Miami,33135,305-643-4433,,E,PK-5,968,816,C,25.76279,-80.22818,910184.102124319,520219.403110102,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:45:15 PM,8545de4a-8005-4e3b-a4a1-16963429b6ad,-8930960.0306,2969731.27
44,3050270000790,6861,Southwood Middle, ,16301 SW 80th Ave, ,Palmetto Bay,33157,305-251-5361,,M,6-8,1696,1061,S,25.61952,-80.32207,879548.092367787,467978.797365449,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:51:06 PM,98919166-8ec4-4e10-b1c7-51fbddfdede8,-8941412.3966,2952033.5025
45,3421020040010,3701,Norland Elementary, ,19340 NW 8th Ct, ,Miami Gardens,33169,305-652-6074,,E,PK-5,708,523,N,25.95185,-80.21636,913664.529903561,588961.301414125,E316899,6/11/2020 9:42:54 AM,E316042,6/24/2025 11:43:30 AM,a1f7a83b-ed2e-4176-90b2-cfc8ffe03335,-8929644.2022,2993119.3187
46,3059200090010,0125,Norma Butler Bossard Elementary, ,15950 SW 144th St, ,Miami-Dade,33196,305-254-5200,,E,PK-5,1032,1003,S,25.63201,-80.45261,836514.90346371,472316.792377487,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:22:55 AM,d40a849d-e126-41e4-bb5d-9dbb8bf81abc,-8955943.9877,2953574.6882
47,1078120240010,4611,Redondo Elementary, ,18480 SW 304th St, ,Homestead,33030,305-247-5943,,E,PK-3,719,578,S,25.48335,-80.49146,823922.369691983,418237.133575119,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 10:51:39 AM,7fc315a9-1201-4ef7-9139-7a2672280e5b,-8960268.5132,2935231.267
48,3049110000080,6901,W. R. Thomas Middle, ,13001 SW 26th St, ,Miami-Dade,33175,305-995-3800,,M,6-8,959,510,S,25.74479,-80.40559,851823.233205967,513375.62889573,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 2:11:36 PM,019b7f5c-ed6a-408a-a9cf-bc85ffbf45b6,-8950709.5182,2967506.883
49,3040240130010,1761,David Fairchild Elementary, ,5757 SW 45th St, ,Miami-Dade,33155,305-665-5483,,E,PK-5,710,467,C,25.7296,-80.28739,890759.78133823,508046.405722767,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:56:07 AM,832202f0-8d86-4ded-9d01-56c6a38dbcfc,-8937551.9509,2965629.3659
50,3050200140010,6781,Richmond Heights Middle, ,15015 SW 103rd Ave, ,Miami-Dade,33176,305-238-2316,,M,6-8,973,342,S,25.62968,-80.3596,867164.290244255,471610.608952828,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 10:51:41 AM,d7b8fa9c-ea93-4b90-839c-a76190f6a739,-8945589.9681,2953288.1068
51,3031280160010,8141,Juvenile Justice Center, ,3300 NW 27th Ave, ,Miami-Dade,33142,305-638-5054,,ALT,6-12,278,49,AC,25.80638,-80.24053,906027.588584449,536039.746420838,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:13:39 PM,c41c39f3-7f3f-49ee-867b-4b99fed33ef4,-8932334.9804,2975120.4154
52,0131250760010,0331,Chapman Partnership Early Childhood Center North, ,1550 North Miami Ave, ,Miami,33136,305-329-3057,,E,PK,0,44,AC,25.78993,-80.1952,920976.687606372,530149.562479347,E316899,6/11/2020 9:42:54 AM,E316899,3/24/2023 12:58:43 PM,4145c6ce-f2ec-4c36-bf21-fc457abff1cf,-8927289.3033,2973086.5747
53,0232340090010,7202,Miami Beach Adult & Community Education Center, ,1424 Drexel Ave, ,Miami Beach,33139,305-531-0451,,O,0,0,0,AC,25.78641,-80.13327,941363.344905358,529000.701038279,E316899,6/11/2020 9:42:54 AM,E316899,4/3/2023 12:53:05 PM,ef92b5f7-83c2-4edf-ad0f-71ce4472e827,-8920395.3106,2972651.8044
54,0622290000340,0561,W.J. Bryan Elementary, ,1201 NE 125th St, ,North Miami,33161,305-891-0602,,E,PK-5,762,590,N,25.89129,-80.17346,927898.812412817,567034.175121702,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 2:11:42 PM,d504e043-16b9-498e-99ab-eb275ba004b8,-8924869.1592,2985623.1017
55,3040160183400,4721,Rockway Elementary, ,2790 SW 93rd Ct, ,Miami-Dade,33165,305-221-1192,,E,PK-5,554,375,C,25.74404,-80.34637,871318.629832122,513195.260767557,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 10:53:00 AM,0883c6cf-7ec6-4499-b494-ff438659ef05,-8944116.9516,2967414.193
56,3049260000021,7531,Miami Sunset Senior High, ,13125 SW 72nd St, ,Miami-Dade,33183,305-385-4255,,S,9-12,1995,969,S,25.70156,-80.40421,852348.195766456,497666.1968171,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:15:19 AM,5b4e0589-c594-4ebe-bc7e-9bfc89a0d91d,-8950555.965,2962165.4024
57,3059330354090,6001,Herbert A. Ammons Elementary, ,17475 SW 157th Ave, ,Miami-Dade,33187,305-971-0158,,M,1-5,747,982,S,25.60436,-80.44579,838803.998377841,462278.835760139,E316899,6/11/2020 9:42:54 AM,E316899,9/16/2025 10:56:22 AM,5e1aa080-32c0-4bc6-8854-d930afb5daa3,-8955184.7734,2950161.8191
58,0622190001470,3941,North Miami Elementary, ,655 NE 145th St, ,North Miami,33161,305-949-0998,,E,PK-5,764,431,N,25.90889,-80.18619,923673.36242488,573407.338391639,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:31:39 AM,4b4ef884-d951-4f8a-bd31-f168e9c16278,-8926286.4143,2987801.8368
59,3031160000060,8017,Educational Alternative Outreach Program, ,6300 NW 27th Ave, ,Miami-Dade,33147,305-694-4444,,ALT,0,0,0,AC,25.83249,-80.24169,905591.498728041,545527.65682967,E316899,6/11/2020 9:42:54 AM,E316899,3/24/2023 3:57:11 PM,c27c8abd-3365-418b-a69f-c8414e4c4364,-8932464.0221,2978349.3053
60,3049340070780,2651,Kendale Lakes Elementary, ,8000 SW 142nd Ave, ,Miami-Dade,33183,305-385-2575,,E,PK-5,882,685,S,25.69231,-80.42572,845281.187247872,494270.656077936,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 3:27:01 PM,bec75380-33df-42d9-9ce4-662ef2708718,-8952950.0012,2961021.917
61,0420340010430,5021,Ben Sheppard Elementary, ,5700 W 24th Ave, ,Hialeah,33016,305-556-2204,,E,PK-5,1088,917,N,25.87422,-80.33175,875889.743052378,560535.902859651,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:27:30 AM,25d4d588-dddf-4c53-91f5-69d195707afb,-8942489.8363,2983511.8699
62,3050300000133,9230,Transportation Center Administrative Offices,Main Office,15401 SW 117th Ave, ,Miami-Dade,33177,305-234-3365,,A,0,0,0, ,25.62436,-80.38095,860136.964797709,469642.154038996,E316899,6/11/2020 9:42:54 AM,E316899,4/5/2023 11:32:33 AM,355a6f22-b992-43b9-a122-dba697e3781b,-8947967.2646,2952630.7819
63,3069240001180,3621,Coconut Palm K-8 Academy, ,24400 SW 124th Ave, ,Miami-Dade,33032,305-257-0500,,E,PK-8,1499,1150,S,25.54131,-80.39341,856171.243962016,439440.684826873,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:45:46 AM,f3fb0f88-93d6-4fa6-91df-153259182a28,-8949353.6786,2942381.4293
64,3031110240090,9221,Maintenance Operations Plant Operations Center, ,11035 SW 84th St, ,Miami-Dade,33173,305-995-1550,,A,0,0,0, ,25.69197,-80.37176,863049.308864422,494229.980493896,E316899,6/11/2020 9:42:54 AM,E316899,4/3/2023 12:41:19 PM,f3a9c89d-8a9b-4223-9ba3-fde5f0eac257,-8946943.9298,2960980.6168
65,3040210000311,7742,Southwest Miami Adult Center, ,8855 SW 50th Ter, ,Miami-Dade,33165,305-274-0181,,O,0,0,0, ,25.72204,-80.33815,874063.952842679,505214.020440124,E316899,6/11/2020 9:42:54 AM,E316899,4/4/2023 3:36:04 PM,6cb5a457-5584-40fe-abb8-b0569f74dc3b,-8943202.0985,2964695.9998
66,3040160183400,6821,Rockway Middle, ,9393 SW 29th Ter, ,Miami-Dade,33165,305-221-8212,,M,6-8,1374,887,C,25.74247,-80.34768,870890.315975722,512623.404127024,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 10:53:06 AM,939ed623-9078-47e4-9afa-8e73d02d0ff9,-8944262.7517,2967220.4719
67,0341200000010,0721,George Washington Carver Elementary, ,238 Grand Ave, ,Coral Gables,33133,305-443-5286,,E,PK-5,486,559,C,25.72722,-80.25896,900123.583458949,507235.066714011,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 2:56:15 PM,658060de-a8d4-437e-a022-4b261ce58f94,-8934387.3494,2965336.002
68,3421150036150,0641,Bunche Park Elementary, ,16001 Bunche Park School Dr, ,Miami Gardens,33054,305-621-1469,,E,PK-5,388,276,N,25.9204,-80.23837,906496.438248884,577488.187035434,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:36:27 AM,738425dc-ebf1-4b6b-b7ab-209a7b51df28,-8932095.0253,2989226.4822
69,3411360033760,6023,Andover Middle, ,121 NE 207th St, ,Miami Gardens,33179,305-654-2727,,M,6-8,1243,388,N,25.96623,-80.1992,919269.543412779,594222.118827023,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 10:48:22 AM,c22efdc7-8cca-4343-b769-17390b80c8f6,-8927734.5839,2994899.6991
70,3421110000044,4881,Scott Lake Elementary, ,1160 NW 175th St, ,Miami Gardens,33169,305-624-1443,,E,PK-5,678,469,N,25.93429,-80.22,912506.249710482,582571.312032171,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:44:38 PM,c6b43c09-2794-4aaf-8eef-3e0cdf19f965,-8930049.4668,2990945.4047
71,3530070010037,7241,Ronald W. Reagan/Doral Senior High, ,8600 NW 107th Ave, ,Doral,33178,305-805-1900,,S,9-12,1776,1271,C,25.85259,-80.37145,862873.982656259,552607.208068267,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 1:40:23 PM,0a16c416-8f2c-4bbb-bdad-78e186686acf,-8946909.0681,2980835.1415
72,0141040000210,0121,Auburndale Elementary, ,3255 SW 6th St, ,Miami,33135,305-445-3587,,E,PK-5,1037,784,C,25.76693,-80.2481,903617.625830203,521688.54947947,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 10:54:16 AM,93d7eb69-d09d-440a-820f-dd7f50b9b4d1,-8933178.0917,2970243.7929
73,0341200000010,6071,George Washington Carver Middle, ,4901 Lincoln Dr, ,Coral Gables,33133,305-444-7388,,M,6-8,880,928,C,25.7259,-80.25896,900126.702818953,506753.923417561,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 2:10:33 PM,255816e5-6d0f-4ba2-a300-b61d1e31d304,-8934387.2081,2965172.4239
74,0131250750010,2351,Eneida Massas Hartner Elementary, ,401 NW 29th St, ,Miami,33127,305-573-8181,,E,PK-5,713,325,C,25.80407,-80.20201,918704.612596255,535274.282356121,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 1:24:15 PM,fac1b284-532e-4c9c-b909-e80ffc48fa8d,-8928047.4173,2974834.5
75,0141030560010,0801,Citrus Grove K-8 Center, ,2153 NW 3rd St, ,Miami,33125,305-642-5055,,E,0,0,0,C,25.77657,-80.23009,909524.678635705,525223.655530758,E316899,6/11/2020 9:42:54 AM,E316042,6/23/2025 11:43:34 AM,aaadfb78-4799-4b1b-8584-f26df002d710,-8931173.1702,2971434.4511
76,3022040000810,4061,Ojus Elementary, ,18600 W Dixie Hwy, ,Miami-Dade,33180,305-931-4881,,E,PK-5,1030,813,N,25.94785,-80.14934,935696.052228078,587644.176804893,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:37:14 AM,b9ff7151-3071-438a-b141-70785a03663d,-8922183.9132,2992623.8853
77,0131220370010,8012,Pace Center for Girls, ,1400 NW 36th St, ,Miami-Dade,33142,786-254-2460,,O,6-12,0,36,AC,25.8094,-80.22019,912713.375214674,537175.187317893,E316899,6/11/2020 9:42:54 AM,E316042,6/25/2025 9:40:35 AM,0b0ecaeb-be64-49ec-a92b-958711342fb5,-8930070.6349,2975493.3821
